"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2015-10-04","86.3","-0.9850","5.5559","Jacob deGrom",547180,594798,"null","swinging_strike",,,,,"11","null","R","L","R","NYM","WSH","S","null","null",1,1,2015,"-0.97195833333333333333","1.11590000000000000000","-0.9700","3.3420","null","null","null",0,4,"Top","null","null",,,518595,,"151004_160636","1.6220","-125.7380","-1.1470","-9.4140","32.0630","-22.1560","3.1900","1.4600","null","null","null","86.2860","1761","6.9970",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.5028","null","null","null","null","null","null","null",23,"3","Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CH","2015-10-04","86.3","-0.9836","5.6769","Jacob deGrom",547180,594798,"null","swinging_strike",,,,,"9","null","R","L","R","NYM","WSH","S","null","null",1,0,2015,"-0.98170000000000000000","0.65723333333333333333","0.3120","1.6610","null","null","null",0,4,"Top","null","null",,,518595,,"151004_160534","4.4600","-125.5310","-3.9440","-9.4540","33.0830","-27.1690","3.1900","1.4600","null","null","null","86.0170","1604","7.0160",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4845","null","null","null","null","null","null","null",23,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2015-10-04","87.0","-1.1084","5.6331","Jacob deGrom",547180,594798,"null","ball",,,,,"11","null","R","L","R","NYM","WSH","B","null","null",0,0,2015,"0.38213333333333333333","0.53253333333333333333","-0.4650","4.1520","null","null","null",0,4,"Top","null","null",,,518595,,"151004_160519","0.3950","-126.7560","1.8960","5.8780","30.1530","-28.3990","3.3000","1.4600","null","null","null","86.7820","2242","6.6580",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.8422","null","null","null","null","null","null","null",23,"1","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2015-10-04","82.7","-1.0333","5.6565","Jacob deGrom",607208,594798,"field_out","hit_into_play",,,,,"9","Trea Turner pops out to second baseman Daniel Murphy.","R","R","R","NYM","WSH","X",4,"popup",0,2,2015,"0.22209166666666666667","-0.12393333333333333333","0.4060","1.7620","null","null","null",2,3,"Top","133.66","131.11",,,518595,,"151004_155340","2.2970","-120.3840","-1.9360","3.7740","19.7620","-35.4730","3.5000","1.6100","197","66.6","42.1880","82.9490","null","6.3510",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"54.1490","0.400","0.392","0.00",1,0,0,3,18,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","95.4","-1.0205","5.6600","Jacob deGrom",607208,594798,"null","foul",,,,,"1","null","R","R","R","NYM","WSH","S","null","null",0,2,2015,"-1.03319166666666666667","1.5330000000000000","-0.4280","3.2820","null","null","null",2,3,"Top","null","null",,,518595,,"151004_155324","3.5560","-138.8400","-3.5630","-12.7160","29.9410","-13.8700","3.5000","1.6100","null","null","null","96.4940","2301","7.0230",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4769","null","null","null","null","null","null","null",18,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","93.9","-0.9369","5.5619","Jacob deGrom",607208,594798,"null","foul",,,,,"1","null","R","R","R","NYM","WSH","S","null","null",0,1,2015,"-0.69780000000000000000","1.3380666666666667","-0.7570","3.0750","null","null","null",2,3,"Top","null","null",,,518595,,"151004_155307","1.6050","-136.6550","-3.4060","-7.7390","29.1330","-17.0420","3.5000","1.6100","null","null","null","94.6010","2173","6.8610",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.6392","null","null","null","null","null","null","null",18,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","94.3","-0.9070","5.5193","Jacob deGrom",607208,594798,"null","foul_tip",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",0,0,2015,"-0.75485833333333333333","1.4255000000000000","-0.0020","3.4850","null","null","null",2,3,"Top","null","null",,,518595,,"151004_155252","3.5880","-137.1510","-2.5740","-8.4830","32.6570","-15.9450","3.5000","1.6100","null","null","null","94.5230","2135","6.8960",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.6037","null","null","null","null","null","null","null",18,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","94.7","-1.0074","5.6350","Jacob deGrom",543685,594798,"strikeout","swinging_strike",,,,,"6","Anthony Rendon strikes out swinging.","R","R","R","NYM","WSH","S",2,"null",2,2,2015,"-0.82722500000000000000","1.7709333333333333","0.6270","2.1370","null","null","null",1,3,"Top","null","null",,,518595,,"151004_155222","5.3480","-137.5900","-6.9510","-9.4730","34.4380","-11.3790","3.4400","1.5300","null","null","null","94.5880","2186","6.8350",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.6649","null","null","0.00",1,0,0,"null",17,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2015-10-04","94.6","-0.7158","5.5921","Jacob deGrom",543685,594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",1,2,2015,"-1.7109333333333333","1.3380666666666667","1.7080","0.9900","null","null","null",1,3,"Top","null","null",,,518595,,"151004_155204","9.7770","-137.1380","-8.9510","-21.7950","28.1590","-16.8720","3.4400","1.5300","null","null","null","95.1520","2018","6.9090",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.5913","null","null","null","null","null","null","null",17,"4","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2015-10-04","94.4","-0.9073","5.6649","Jacob deGrom",543685,594798,"null","ball",,,,,"11","null","R","R","R","NYM","WSH","B","null","null",0,2,2015,"-1.3602333333333333","0.94676666666666666667","-0.5530","3.8230","null","null","null",1,3,"Top","null","null",,,518595,,"151004_155150","3.8160","-137.3090","-0.7000","-16.6910","33.6520","-22.2660","3.4400","1.5300","null","null","null","94.5070","2161","6.8260",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.6744","null","null","null","null","null","null","null",17,"3","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
