"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-26","91.8","-1.0415","5.4247","Jacob deGrom",645277,594798,"strikeout","called_strike",,,,,"1","Ozzie Albies called out on strikes.  ","R","L","R","NYM","ATL","S",2,"null",3,2,2018,"0.4257","0.3755","-0.7201","2.7612","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015154","-0.1192","-133.8922","-1.8031","5.2396","26.1538","-27.3993","3.1376","1.4608","null","null","null","93.0390","2458","6.6860",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.8140","null","null","0.00",1,0,0,"null",55,"6","Slider",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"FF","2018-09-26","98.9","-1.1301","5.2939","Jacob deGrom",645277,594798,"null","ball",,,,,"11","null","R","L","R","NYM","ATL","B","null","null",2,2,2018,"-0.5425","1.1557","-1.3221","3.8565","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015154","0.7705","-144.2647","-1.2658","-7.8720","33.2673","-15.6824","3.0885","1.4854","null","null","null","100.0750","2411","6.7850",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.7144","null","null","null","null","null","null","null",55,"5","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"CU","2018-09-26","85.8","-1.0260","5.3765","Jacob deGrom",645277,594798,"null","swinging_strike",,,,,"1","null","R","L","R","NYM","ATL","S","null","null",2,1,2018,"0.5248","-0.2248","-0.3128","3.1112","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015154","0.6293","-125.0423","1.3292","5.3780","24.7433","-35.0066","3.1621","1.5100","null","null","null","86.0150","2694","6.3020",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"54.1979","null","null","null","null","null","null","null",55,"4","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"FF","2018-09-26","97.8","-1.0145","5.3744","Jacob deGrom",645277,594798,"null","ball",,,,,"11","null","R","L","R","NYM","ATL","B","null","null",1,1,2018,"-0.4603","1.2576","-1.0696","4.0263","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015154","0.9479","-142.5954","-1.1442","-6.6262","32.1292","-14.5760","3.1621","1.4608","null","null","null","99.2030","2470","6.9170",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.5826","null","null","null","null","null","null","null",55,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"CU","2018-09-26","83.7","-1.2197","5.4452","Jacob deGrom",645277,594798,"null","swinging_strike",,,,,"1","null","R","L","R","NYM","ATL","S","null","null",1,0,2018,"0.6891","-0.3352","-0.5142","3.1244","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015155","0.2719","-121.9642","1.6534","6.8728","21.7448","-36.0304","3.0640","1.3133","null","null","null","84.2150","2677","6.3420",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"54.1573","null","null","null","null","null","null","null",55,"2","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"FF","2018-09-26","98.6","-1.2167","5.2363","Jacob deGrom",645277,594798,"null","ball",,,,,"11","null","R","L","R","NYM","ATL","B","null","null",0,0,2018,"-0.5789","1.2606","-1.0901","2.4825","null","null","null",2,8,"Top","null","null",,,519023,,"180927_015154","1.7362","-143.7048","-5.1288","-8.5807","31.2397","-13.3705","3.2594","1.5591","null","null","null","100.0590","2534","6.8690",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.6300","null","null","null","null","null","null","null",55,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"FT","2018-09-26","96.2","-0.8687","5.3081","Jacob deGrom",452095,594798,"strikeout","called_strike",,,,,"6","Tyler Flowers called out on strikes.  ","R","R","R","NYM","ATL","S",2,"null",1,2,2018,"-1.1922","0.8695","0.7727","2.1647","null","null","null",1,8,"Top","null","null",,,519023,,"180927_015206","7.2032","-139.9926","-4.8189","-17.6218","31.6814","-19.6051","3.2848","1.5591","null","null","null","97.3340","2317","6.9350",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.5644","null","null","0.00",1,0,0,"null",54,"4","2-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-09-26","93.2","-0.9800","5.3667","Jacob deGrom",452095,594798,"null","ball",,,,,"12","null","R","R","R","NYM","ATL","B","null","null",0,2,2018,"0.4072","0.4125","1.3555","2.6942","null","null","null",1,8,"Top","null","null",,,519023,,"180927_015205","5.1413","-135.8332","-2.1000","4.1072","27.0581","-26.7375","3.3584","1.6083","null","null","null","94.3540","2595","6.6760",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.8235","null","null","null","null","null","null","null",54,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-09-26","97.2","-0.9832","5.2963","Jacob deGrom",452095,594798,"null","swinging_strike",,,,,"6","null","R","R","R","NYM","ATL","S","null","null",0,1,2018,"-0.2233","1.1769","0.7964","2.5823","null","null","null",1,8,"Top","null","null",,,519023,,"180927_015206","5.3621","-141.6637","-4.5879","-4.2585","31.2929","-15.1412","3.4075","1.6263","null","null","null","98.6050","2388","6.9160",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.5840","null","null","null","null","null","null","null",54,"2","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-09-26","98.1","-1.0542","5.3943","Jacob deGrom",452095,594798,"null","swinging_strike",,,,,"3","null","R","R","R","NYM","ATL","S","null","null",0,0,2018,"-0.6083","1.3468","0.4248","3.4177","null","null","null",1,8,"Top","null","null",,,519023,,"180927_015206","5.5044","-142.9243","-3.1098","-9.7455","31.9108","-12.8049","3.4320","1.6574","null","null","null","99.4450","2559","6.8990",531770,594798,519023,642086,643446,453943,642708,624424,457706,607043,"53.6000","null","null","null","null","null","null","null",54,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
