"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2016-09-01","84.6","-1.1524","5.3294","Jacob deGrom",425772,594798,"strikeout","swinging_strike",,,,,"14","Jeff Mathis strikes out swinging.  ","R","R","R","NYM","MIA","S",2,"null",1,2,2016,"-0.95665000000000000000","0.27023333333333333333","0.3630","1.3020","null","489305.00","null",2,5,"Top","null","null",,,518595,,"160901_204841","4.6900","-123.0400","-3.1370","-9.1430","23.3620","-31.3410","3.3900","1.4600","null","null","null","86.0950","1669","7.3480",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.1507","null","null","0.00",1,0,0,"null",42,"4","Changeup",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2016-09-01","91.9","-0.8924","5.6201","Jacob deGrom",425772,594798,"null","ball",,,,,"12","null","R","R","R","NYM","MIA","B","null","null",0,2,2016,"-0.59481666666666666667","1.3294666666666667","0.0040","4.6110","null","489305.00","null",2,5,"Top","null","null",,,518595,,"160901_204800","2.8400","-133.8980","0.6620","-6.0680","28.3660","-17.7620","3.3900","1.4600","null","null","null","93.2620","2234","7.1380",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.3610","null","null","null","null","null","null","null",42,"3","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2016-09-01","93.0","-0.8980","5.6878","Jacob deGrom",425772,594798,"null","foul",,,,,"12","null","R","R","R","NYM","MIA","S","null","null",0,1,2016,"-0.56141666666666666667","1.6921000000000000","1.2570","2.4970","null","489305.00","null",2,5,"Top","null","null",,,518595,,"160901_204732","5.9360","-135.2450","-5.6980","-5.7170","30.2530","-12.8720","3.3900","1.4600","144","62.6","60.3896","94.3300","2494","7.2910",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.2075","null","null","null","null","null","null","null",42,"2","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2016-09-01","93.9","-0.9875","5.7061","Jacob deGrom",425772,594798,"null","called_strike",,,,,"6","null","R","R","R","NYM","MIA","S","null","null",0,0,2016,"-0.46539166666666666667","1.3079666666666667","0.3650","2.6090","null","489305.00","null",2,5,"Top","null","null",,,518595,,"160901_204712","3.6270","-136.5840","-4.2530","-4.4920","33.6020","-17.6760","3.3900","1.4600","null","null","null","94.9720","2461","7.3150",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.1838","null","null","null","null","null","null","null",42,"1","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"SL","2016-09-01","87.7","-1.0302","5.6243","Jacob deGrom",489305,594798,"double","hit_into_play_score",,,,,"9","Xavier Scruggs doubles (3) on a line drive to center fielder Curtis Granderson.   Jeff Francoeur scores.  ","R","R","R","NYM","MIA","X","null","line_drive",0,2,2016,"0.54356666666666666667","0.34190000000000000000","0.4590","2.1350","null","425796.00","null",2,5,"Top","155.32","54.76",,,518595,,"160901_204558","1.5040","-127.7790","-2.5090","8.0120","26.0870","-30.4610","3.6200","1.6900","377","107.4","18.7980","88.5490","2478","6.8420",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.6564","0.831","1.223","1.25",1,1,1,6,41,"3","Slider",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2016-09-01","92.0","-0.9495","5.7437","Jacob deGrom",489305,594798,"null","called_strike",,,,,"12","null","R","R","R","NYM","MIA","S","null","null",0,1,2016,"-0.64630833333333333333","1.4900000000000000","0.8710","3.0430","null","425796.00","null",2,5,"Top","null","null",,,518595,,"160901_204520","5.3590","-133.9480","-3.4010","-6.7450","29.0540","-15.7470","3.6200","1.6900","null","null","null","93.5940","2441","7.3090",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.1896","null","null","null","null","null","null","null",41,"2","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"SL","2016-09-01","88.7","-1.2169","5.5751","Jacob deGrom",489305,594798,"null","foul",,,,,"9","null","R","R","R","NYM","MIA","S","null","null",0,0,2016,"0.28750000000000000000","0.52250000000000000000","0.6010","2.0490","null","425796.00","null",2,5,"Top","null","null",,,518595,,"160901_204451","2.8650","-129.0990","-3.3970","5.1170","24.0440","-28.2530","3.6200","1.6900","null","null","null","90.1750","null","7.1230",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.3761","null","null","null","null","null","null","null",41,"1","Slider",0,2,2,0,2,0,2,0,"Standard","Standard"
"CH","2016-09-01","84.5","-0.8911","5.7412","Jacob deGrom",425796,594798,"double","hit_into_play_score",,,,,"14","Jeff Francoeur doubles (14) on a line drive to center fielder Curtis Granderson.   Christian Yelich scores.  ","R","R","R","NYM","MIA","X","null","line_drive",2,1,2016,"-0.95665000000000000000","0.68876666666666666667","0.9250","2.2600","null","592885.00","null",2,5,"Top","142.13","60.36",,,518595,,"160901_204401","5.5040","-122.9040","-2.1800","-9.1220","23.3180","-26.8540","3.4800","1.6000","276","99.3","13.0590","86.1990","1768","7.4280",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.0708","0.800","0.779","1.25",1,1,1,4,40,"4","Changeup",0,1,1,0,1,0,1,0,"Standard","Standard"
"FF","2016-09-01","92.4","-0.8861","5.6585","Jacob deGrom",425796,594798,"null","ball",,,,,"14","null","R","R","R","NYM","MIA","B","null","null",1,1,2016,"-0.46678333333333333333","1.5846000000000000","1.6840","2.0420","null","null","592885.00",2,5,"Top","null","null",,,518595,,"160901_204320","6.6840","-134.3100","-6.3000","-4.4040","30.3610","-14.5280","3.4800","1.6000","null","null","null","93.6510","2340","7.3250",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.1738","null","null","null","null","null","null","null",40,"3","4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard"
"CH","2016-09-01","84.2","-1.1848","5.4694","Jacob deGrom",425796,594798,"null","swinging_strike",,,,,"4","null","R","R","R","NYM","MIA","S","null","null",1,0,2016,"-0.98726666666666666667","0.20716666666666666667","-0.7500","2.4480","null","null","592885.00",2,5,"Top","null","null",,,518595,,"160901_204248","2.1400","-122.5570","-0.5730","-9.3160","25.3230","-32.0260","3.4800","1.6000","null","null","null","85.2660","1602","7.1560",448861,594798,518595,425766,527038,430637,408314,624424,434158,457803,"53.3422","null","null","null","null","null","null","null",40,"2","Changeup",0,1,1,0,1,0,1,0,"Standard","Standard"
