"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2015-10-28","84.1","-0.6739","5.8725","Jacob deGrom",519058,594798,"null","blocked_ball",,,,,"14","null","W","L","R","KC","NYM","B","null","null",0,0,2015,"0.26105833333333333333","0.37916666666666666667","1.1160","0.6550","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_204834","3.3260","-122.2420","-5.2140","4.2090","26.7140","-30.2250","3.4900","1.5900","null","null","null","82.9950","599","6.1020",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.3979","null","null","null","null","null","null","null",42,"1","Curveball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"CH","2015-10-28","86.7","-0.7543","5.4129","Jacob deGrom",434778,594798,"single","hit_into_play_no_out",,,,,"4","Kendrys Morales singles on a line drive to right fielder Curtis Granderson.   Eric Hosmer to 3rd.","W","L","R","KC","NYM","X","null","line_drive",0,1,2015,"-1.5188833333333333","0.50960000000000000000","-0.5070","2.3150","null","null","543333.00",2,5,"Bot","171.58","113.94",,,518595,,"151028_204709","3.6150","-126.1990","-1.7150","-15.8890","28.6940","-28.6640","3.4700","1.6300","207","87.4","14.9670","86.5780","2184","6.7830",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.7163","0.925","0.914","0.90",1,1,0,4,41,"2","Changeup",3,1,3,1,1,3,3,1,"Strategic","Standard"
"CH","2015-10-28","86.8","-0.7351","5.6533","Jacob deGrom",434778,594798,"null","swinging_strike",,,,,"13","null","W","L","R","KC","NYM","S","null","null",0,0,2015,"-1.6176916666666667","0.01653333333333333333","-0.8870","1.1990","null","null","543333.00",2,5,"Bot","null","null",,,518595,,"151028_204650","2.9740","-126.3880","-3.2180","-16.9700","30.3260","-34.1340","3.4700","1.6300","null","null","null","86.7470","1907","6.8680",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.6322","null","null","null","null","null","null","null",41,"1","Changeup",3,1,3,1,1,3,3,1,"Infield shift","Strategic"
"SL","2015-10-28","89.0","-0.8040","5.8078","Jacob deGrom",543333,594798,"single","hit_into_play_score",,,,,"8","Eric Hosmer singles on a ground ball to center fielder Juan Lagares.   Alex Rios scores.    Alcides Escobar scores.","W","L","R","KC","NYM","X","null","ground_ball",0,1,2015,"0.01055833333333333333","0.72030000000000000000","0.1430","2.2900","425567.00","444876.00","null",2,5,"Bot","129.45","103.25",,,518595,,"151028_204556","1.9250","-129.6600","-3.0870","1.7200","26.5370","-25.9140","3.6400","1.6800","59","100.0","1.2200","88.6790","2422","6.2540",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.2454","0.446","0.428","0.90",1,1,0,4,40,"2","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2015-10-28","89.2","-0.8904","5.4633","Jacob deGrom",543333,594798,"null","swinging_strike",,,,,"9","null","W","L","R","KC","NYM","S","null","null",0,0,2015,"0.15111666666666666667","0.87653333333333333333","0.6890","1.6250","425567.00","444876.00","null",2,5,"Bot","null","null",,,518595,,"151028_204530","3.1290","-129.8440","-4.9270","3.4260","28.5190","-24.0890","3.6400","1.6800","null","null","null","88.7490","2450","6.3960",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.1034","null","null","null","null","null","null","null",40,"1","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2015-10-28","95.6","-0.6577","5.4470","Jacob deGrom",456715,594798,"field_out","hit_into_play",,,,,"1","Lorenzo Cain lines out to center fielder Juan Lagares.","W","R","R","KC","NYM","X",8,"line_drive",1,2,2015,"-0.71589166666666666667","1.4670666666666667","-0.2900","3.1370","425567.00","444876.00","null",1,5,"Bot","133.51","90.03",,,518595,,"151028_204400","2.3310","-139.1860","-3.3810","-8.1610","34.3560","-14.9370","3.7700","1.7400","275","87.3","17.8780","95.3450","2300","6.6160",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.8841","0.597","0.637","0.00",1,0,0,4,39,"6","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"CU","2015-10-28","83.1","-0.7991","5.6551","Jacob deGrom",456715,594798,"null","foul",,,,,"4","null","W","R","R","KC","NYM","S","null","null",1,2,2015,"0.26801666666666666667","-0.29736666666666666667","-0.4110","2.5420","425567.00","444876.00","null",1,5,"Bot","null","null",,,518595,,"151028_204315","0.2380","-120.9600","0.6570","4.2280","24.4330","-37.2200","3.7700","1.7400","null","null","null","82.1680","1323","6.0020",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.4976","null","null","null","null","null","null","null",39,"5","Curveball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"CU","2015-10-28","82.5","-0.8760","5.6207","Jacob deGrom",456715,594798,"null","ball",,,,,"11","null","W","R","R","KC","NYM","B","null","null",0,2,2015,"0.38909166666666666667","-0.24863333333333333333","-1.2330","2.7790","425567.00","444876.00","null",1,5,"Bot","null","null",,,518595,,"151028_204249","-1.6110","-120.1520","1.0890","5.4420","23.4670","-36.6780","3.7700","1.7400","null","null","null","82.1000","2598","6.2590",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.2410","null","null","null","null","null","null","null",39,"4","Curveball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2015-10-28","96.5","-0.7505","5.5750","Jacob deGrom",456715,594798,"null","foul",,,,,"8","null","W","R","R","KC","NYM","S","null","null",0,2,2015,"-1.07215833333333333333","1.5473333333333333","-0.1850","1.7640","425567.00","444876.00","null",1,5,"Bot","null","null",,,518595,,"151028_204214","3.8300","-140.2140","-7.1530","-13.3860","33.9340","-13.5250","3.7700","1.7400","222","78.7","48.3540","96.0800","2387","6.5510",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.9491","null","null","null","null","null","null","null",39,"3","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"FF","2015-10-28","96.7","-0.6442","5.6474","Jacob deGrom",456715,594798,"null","foul",,,,,"5","null","W","R","R","KC","NYM","S","null","null",0,1,2015,"-0.50714166666666666667","1.8583666666666667","0.0810","3.0900","425567.00","444876.00","null",1,5,"Bot","null","null",,,518595,,"151028_204138","2.7140","-140.7580","-4.6880","-5.3730","35.0420","-9.1280","3.7700","1.7400","null","null","null","96.1690","2433","6.4200",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.0800","null","null","null","null","null","null","null",39,"2","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"FF","2015-10-28","96.9","-0.5961","5.6054","Jacob deGrom",456715,594798,"null","foul",,,,,"9","null","W","R","R","KC","NYM","S","null","null",0,0,2015,"-1.11390833333333333333","1.5244000000000000","0.4960","2.3190","425567.00","444876.00","null",1,5,"Bot","null","null",,,518595,,"151028_204105","5.2350","-140.8420","-5.7940","-14.0430","35.5120","-13.7670","3.7700","1.7400","286","95.7","20.5660","96.4600","2411","6.6120",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.8883","null","null","null","null","null","null","null",39,"1","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FT","2015-10-28","97.4","-0.5470","5.5359","Jacob deGrom",450314,594798,"field_out","hit_into_play",,,,,"9","Ben Zobrist grounds out to first baseman Lucas Duda.   Alex Rios to 3rd.    Alcides Escobar to 2nd.","W","L","R","KC","NYM","X",3,"ground_ball",0,1,2015,"-1.2586416666666667","1.26640000000000000000","0.6290","2.1460","null","425567.00","444876.00",0,5,"Bot","155.84","170.90",,,518595,,"151028_204009","5.8980","-141.5840","-5.8860","-16.4390","32.9110","-17.0230","3.6300","1.7000","31","85.6","-2.1000","97.3070","2441","6.6130",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.8872","0.272","0.272","0.00",1,0,0,2,38,"2","2-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"CH","2015-10-28","86.5","-0.7760","5.5049","Jacob deGrom",450314,594798,"null","called_strike",,,,,"9","null","W","L","R","KC","NYM","S","null","null",0,0,2015,"-1.5230583333333333","0.64576666666666666667","0.3190","1.6860","null","425567.00","444876.00",0,5,"Bot","null","null",,,518595,,"151028_203944","5.6020","-125.7400","-3.6120","-15.9590","26.5040","-27.1410","3.6300","1.7000","null","null","null","86.9920","1878","7.0560",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.4440","null","null","null","null","null","null","null",38,"1","Changeup",1,1,1,1,1,1,1,1,"Standard","Standard"
