"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2017-09-24","86.5","-1.2457","5.1606","Jacob deGrom","null",594798,"null","ball",,,,,"11","null","R","L","R","NYM","WSH","B","null","null",1,0,2017,"-1.3932","0.3874","-1.5263","4.0793","null","null","null",0,6,"Top","null","null",,,518595,,"170924_184740","2.2815","-126.0390","2.8109","-15.8002","23.8272","-28.5915","3.4031","1.5939","null","null","null","88.3030","1590","7.1810",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3189","null","null","null","null","null","null","null",39,"2","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"SL","2017-09-24","88.4","-1.4841","5.2129","Jacob deGrom","null",594798,"null","ball",,,,,"11","null","R","L","R","NYM","WSH","B","null","null",0,0,2017,"-0.0067","0.2378","-1.0663","2.7065","null","null","null",0,6,"Top","null","null",,,518595,,"170924_184722","1.0434","-128.8141","-0.6523","-0.2589","22.4551","-29.5005","3.4447","1.6356","null","null","null","89.9270","2323","6.7870",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.7122","null","null","null","null","null","null","null",39,"1","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"CU","2017-09-24","81.8","-0.9164","5.2756","Jacob deGrom",457477,594798,"strikeout","swinging_strike_blocked",,,,,"14","Alejandro De Aza strikes out swinging, catcher Travis d'Arnaud to first baseman Dominic Smith.  ","R","L","R","NYM","WSH","S",2,"null",3,2,2017,"0.3011","-0.6575","0.8459","0.7742","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183339","3.4241","-119.1061","-2.3774","2.3145","21.4454","-38.3225","3.1310","1.3634","null","null","null","82.9250","2456","6.8600",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.6393","null","null","0.00",1,0,0,"null",34,"8","Curveball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2017-09-24","94.8","-1.0614","5.3075","Jacob deGrom","null",594798,"null","foul",,,,,"5","null","R","L","R","NYM","WSH","S","null","null",3,2,2017,"-0.6720","1.2191","0.2607","2.3962","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183318","5.0886","-137.9918","-4.8616","-9.9581","29.0783","-15.1883","3.1310","1.3634","186","67.2","48.3391","96.6790","2283","7.2190",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.2804","null","null","null","null","null","null","null",34,"7","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"SL","2017-09-24","90.1","-1.1544","5.4353","Jacob deGrom","null",594798,"null","foul",,,,,"4","null","R","L","R","NYM","WSH","S","null","null",3,2,2017,"0.1722","0.8158","-0.3159","2.1813","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183242","1.7296","-131.0112","-3.9065","1.6457","28.2246","-21.9604","3.1641","1.3964","4","41.5","-28.1652","90.9760","2295","6.8980",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.6012","null","null","null","null","null","null","null",34,"6","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"SL","2017-09-24","90.3","-1.2336","5.3257","Jacob deGrom","null",594798,"null","ball",,,,,"7","null","R","L","R","NYM","WSH","B","null","null",2,2,2017,"-0.1244","0.4591","-0.6935","1.6094","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183212","1.6395","-131.5443","-4.4233","-1.8111","25.9139","-25.9774","3.3625","1.6363","null","null","null","91.9340","2268","7.0440",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.4555","null","null","null","null","null","null","null",34,"5","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2017-09-24","93.7","-1.0499","5.3858","Jacob deGrom","null",594798,"null","foul",,,,,"2","null","R","L","R","NYM","WSH","S","null","null",2,1,2017,"-0.5473","1.5380","0.2501","2.9027","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183146","4.6625","-136.1965","-4.1917","-8.0357","30.9451","-11.7972","3.1310","1.3634","178","71.0","28.1459","94.8930","2301","7.1130",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3865","null","null","null","null","null","null","null",34,"4","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2017-09-24","93.4","-1.1821","5.3943","Jacob deGrom","null",594798,"null","foul",,,,,"2","null","R","L","R","NYM","WSH","S","null","null",2,0,2017,"-0.6870","1.4859","0.1992","2.9607","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183119","5.1763","-135.7724","-3.9272","-9.8446","28.7097","-12.5866","3.1310","1.3634","158","74.8","18.0862","94.8700","2247","7.1130",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3866","null","null","null","null","null","null","null",34,"3","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2017-09-24","87.2","-0.9603","5.1922","Jacob deGrom","null",594798,"null","ball",,,,,"14","null","R","L","R","NYM","WSH","B","null","null",1,0,2017,"-1.1048","0.6099","0.8680","1.4608","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183052","6.8237","-126.7909","-4.2106","-13.5987","23.2429","-24.7409","3.3493","1.5731","null","null","null","88.8900","1690","7.1430",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3564","null","null","null","null","null","null","null",34,"2","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","93.5","-1.1434","5.2398","Jacob deGrom","null",594798,"null","ball",,,,,"11","null","R","L","R","NYM","WSH","B","null","null",0,0,2017,"-1.2053","1.2332","-1.0894","3.5072","null","null","446653.00",2,5,"Top","null","null",,,518595,,"170924_183031","2.8758","-136.1703","-1.5600","-15.9869","27.5453","-16.2655","3.3701","1.6773","null","null","null","95.0340","2196","6.9510",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.5483","null","null","null","null","null","null","null",34,"1","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
