pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
FT,2016-04-08,92.2,NA,NA,Jacob deGrom,520471,594798,NA,ball,NA,NA,NA,NA,2,NA,R,L,R,NYM,PHI,B,NA,NA,0,0,2016,-1.25725,1.4556,-0.027,3.471,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,160408_141431,5.197,-134.252,-1.917,-14.795,28.756,-16.087,3.65,1.72,NA,NA,NA,93.818,2291,7.31,446921,446263,435522,431151,452678,624424,493316,434158,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,1,2016,Regular,0,0
FT,2016-04-08,91.9,NA,NA,Jacob deGrom,520471,594798,NA,foul,NA,NA,NA,NA,4,NA,R,L,R,NYM,PHI,S,NA,NA,1,0,2016,-1.1389583333333333,1.3266,-0.432,2.507,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,160408_141443,3.898,-133.734,-3.88,-13.165,28.197,-17.839,3.24,1.45,NA,NA,NA,93.316,2289,7.21,446921,446263,435522,431151,452678,624424,493316,434158,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,2,2016,Regular,0,0
SL,2016-04-08,87.7,-1.3224,5.4897,Jacob deGrom,520471,594798,NA,foul,NA,NA,NA,NA,6,NA,R,L,R,NYM,PHI,S,NA,NA,1,1,2016,0.116325,0.8364,0.553,2.04,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,160408_141502,3.812,-127.585,-3.296,2.939,23.783,-24.711,3.24,1.45,184,67.8,49.8296,88.638,2505,6.817,446921,446263,435522,431151,452678,624424,493316,434158,53.6821,NA,NA,NA,NA,NA,NA,NA,1,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,3,2016,Regular,0,0
CH,2016-04-08,84,NA,NA,Jacob deGrom,520471,594798,field_out,hit_into_play,NA,NA,NA,NA,7,Freddy Galvis flies out to left fielder Michael Conforto.,R,L,R,NYM,PHI,X,7,fly_ball,1,2,2016,-1.0415416666666666,0.8607666666666667,-0.427,1.736,NA,NA,NA,0,1,Top,85.79,100.2,NA,NA,518595,NA,160408_141530,3.529,-122.229,-3.007,-9.825,26.013,-25.191,3.24,1.45,NA,89.2,39.299,85.504,1761,7.144,446921,446263,435522,431151,452678,624424,493316,434158,NA,0.013,0.024,0,1,0,0,3,1,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,4,2016,Regular,0,0
CH,2016-04-08,84.9,-1.2221,5.2184,Jacob deGrom,514917,594798,NA,swinging_strike,NA,NA,NA,NA,4,NA,R,L,R,NYM,PHI,S,NA,NA,0,0,2016,-0.8592333333333333,1.0686,-0.349,2.469,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,160408_141605,2.732,-123.522,-2.105,-7.937,29.259,-22.929,3.28,1.5,213,100.5,10.093,86.821,2392,6.913,446921,446263,435522,431151,452678,624424,493316,434158,53.5854,NA,NA,NA,NA,NA,NA,NA,2,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,5,2016,Regular,0,0
SL,2016-04-08,86.3,NA,NA,Jacob deGrom,514917,594798,single,hit_into_play_no_out,NA,NA,NA,NA,5,Cesar Hernandez singles on a line drive to center fielder Yoenis Cespedes.,R,L,R,NYM,PHI,X,NA,line_drive,0,1,2016,0.1873,0.802,0.018,2.388,NA,NA,NA,1,1,Top,131.98,75.79,NA,NA,NA,NA,160408_141620,1.948,-125.707,-2.202,3.629,27.116,-25.422,3.28,1.5,NA,90,15,NA,NA,NA,446921,NA,NA,NA,NA,NA,NA,NA,NA,0.864,0.842,0.9,1,1,0,4,2,2,Slider,0,0,0,0,0,0,0,0,NA,NA,6,2016,Regular,0,0
FT,2016-04-08,92.8,-1.2509,5.4483,Jacob deGrom,546318,594798,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,NYM,PHI,B,NA,NA,0,0,2016,-1.378325,1.4928666666666668,-0.76,1.157,NA,NA,514917,1,1,Top,NA,NA,NA,NA,518595,NA,160408_141730,3.881,-135.001,-7.536,-16.186,35.566,-15.824,3.4,1.6,NA,NA,NA,93.142,NA,7.055,446921,446263,435522,431151,452678,624424,493316,434158,53.444,NA,NA,NA,NA,NA,NA,NA,3,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,7,2016,Regular,1,0
FT,2016-04-08,93.1,NA,NA,Jacob deGrom,546318,594798,NA,foul,NA,NA,NA,NA,11,NA,R,L,R,NYM,PHI,S,NA,NA,1,0,2016,-1.2168916666666667,1.4570333333333334,-1.045,2.436,NA,NA,514917,1,1,Top,NA,NA,NA,NA,518595,NA,160408_141756,2.556,-135.541,-4.724,-14.325,33.392,-15.999,3.27,1.57,NA,NA,NA,93.684,2420,7.022,446921,446263,435522,431151,452678,624424,493316,434158,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,8,2016,Regular,1,0
FF,2016-04-08,92.9,NA,NA,Jacob deGrom,546318,594798,NA,swinging_strike,NA,NA,NA,NA,2,NA,R,L,R,NYM,PHI,S,NA,NA,1,1,2016,-1.2669916666666667,1.6161333333333332,-0.169,2.76,NA,NA,514917,1,1,Top,NA,NA,NA,NA,518595,NA,160408_141915,4.839,-135.224,-4.217,-14.943,33.002,-14.035,3.27,1.57,NA,NA,NA,93.307,2214,6.928,446921,446263,435522,431151,452678,624424,493316,434158,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,9,2016,Regular,1,0
FT,2016-04-08,93.3,NA,NA,Jacob deGrom,546318,594798,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,NYM,PHI,B,NA,NA,1,2,2016,-1.1431333333333333,1.3337666666666668,-1.338,2.866,NA,NA,514917,1,1,Top,NA,NA,NA,NA,518595,NA,160408_141946,1.722,-135.983,-3.249,-13.576,30.827,-17.346,3.27,1.68,NA,NA,NA,94.131,2284,6.858,446921,446263,435522,431151,452678,624424,493316,434158,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,10,2016,Regular,1,0
