pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
FT,2018-03-31,94.9,-1.2921,5.2625,Jacob deGrom,451594,594798,NA,called_strike,NA,NA,NA,NA,2,NA,R,L,R,NYM,STL,S,NA,NA,0,0,2018,-1.0743,1.0163,0.2704,2.718,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171036,6.6515,-138.2019,-3.3637,-15.5889,31.7598,-18.2847,3.254,1.4503,NA,NA,NA,96.147,2256,7.033,529443,408236,452678,453943,642708,493316,501571,457803,53.4665,NA,NA,NA,NA,NA,NA,NA,1,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,1,2018,Regular,0,0
CH,2018-03-31,88.1,-1.1648,5.2164,Jacob deGrom,451594,594798,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,NYM,STL,B,NA,NA,0,1,2018,-1.0278,0.3822,-1.3268,1.7102,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171048,1.8636,-128.4682,-3.2951,-12.1318,28.2492,-27.2638,3.5272,1.4602,NA,NA,NA,89.767,1587,7.34,529443,408236,452678,453943,642708,493316,501571,457803,53.1596,NA,NA,NA,NA,NA,NA,NA,1,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,2,2018,Regular,0,0
FF,2018-03-31,95.4,-1.1504,5.3778,Jacob deGrom,451594,594798,NA,foul,NA,NA,NA,NA,12,NA,R,L,R,NYM,STL,S,NA,NA,1,1,2018,-0.5913,1.3216,1.0642,3.0179,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171107,7.2361,-138.7354,-3.5764,-9.4372,33.221,-14.3048,3.3372,1.439,235,82.4,22.7424,95.897,2384,6.769,529443,408236,452678,453943,642708,493316,501571,457803,53.7303,NA,NA,NA,NA,NA,NA,NA,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,3,2018,Regular,0,0
SL,2018-03-31,91.3,-1.3156,5.4376,Jacob deGrom,451594,594798,NA,foul,NA,NA,NA,NA,4,NA,R,L,R,NYM,STL,S,NA,NA,1,2,2018,0.4093,0.5042,-0.4831,2.6213,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171129,1.2152,-133.0357,-2.2825,4.5804,30.4566,-25.8887,3.3372,1.439,212,79.2,20.6929,91.508,2502,6.493,529443,408236,452678,453943,642708,493316,501571,457803,54.0069,NA,NA,NA,NA,NA,NA,NA,1,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,4,2018,Regular,0,0
FF,2018-03-31,95.9,-1.2874,5.2748,Jacob deGrom,451594,594798,NA,foul,NA,NA,NA,NA,12,NA,R,L,R,NYM,STL,S,NA,NA,1,2,2018,-0.322,1.6775,0.8863,3.8532,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171143,6.5445,-139.5097,-1.9607,-5.872,35.0391,-9.8696,3.3372,1.439,NA,NA,NA,96.257,2468,6.775,529443,408236,452678,453943,642708,493316,501571,457803,53.7242,NA,NA,NA,NA,NA,NA,NA,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,5,2018,Regular,0,0
SL,2018-03-31,91,-1.0727,5.3848,Jacob deGrom,451594,594798,NA,ball,NA,NA,NA,NA,9,NA,R,L,R,NYM,STL,B,NA,NA,1,2,2018,0.3692,0.4451,0.6676,1.6735,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171207,3.5839,-132.5031,-4.3973,3.6209,27.676,-26.1935,3.4481,1.5451,NA,NA,NA,91.397,2539,6.443,529443,408236,452678,453943,642708,493316,501571,457803,54.056,NA,NA,NA,NA,NA,NA,NA,1,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,6,2018,Regular,0,0
CH,2018-03-31,90,-1.0789,5.2319,Jacob deGrom,451594,594798,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,NYM,STL,B,NA,NA,2,2,2018,-1.2728,0.0721,-1.4621,0.6389,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171224,1.9477,-131.2971,-5.7787,-15.853,27.7019,-30.2235,3.3648,1.4394,NA,NA,NA,92.628,1884,7.71,529443,408236,452678,453943,642708,493316,501571,457803,52.7895,NA,NA,NA,NA,NA,NA,NA,1,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,7,2018,Regular,0,0
FF,2018-03-31,95.6,-1.0209,5.3795,Jacob deGrom,451594,594798,NA,foul,NA,NA,NA,NA,3,NA,R,L,R,NYM,STL,S,NA,NA,3,2,2018,-0.1576,1.5038,0.2894,3.3413,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171247,3.8658,-139.2865,-3.2563,-2.9695,31.6995,-11.6852,3.3372,1.439,189,77.2,21.0812,96.759,2395,6.912,529443,408236,452678,453943,642708,493316,501571,457803,53.5872,NA,NA,NA,NA,NA,NA,NA,1,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,8,2018,Regular,0,0
SL,2018-03-31,91.5,-1.1806,5.3152,Jacob deGrom,451594,594798,strikeout,swinging_strike,NA,NA,NA,NA,8,Dexter Fowler strikes out swinging.,R,L,R,NYM,STL,S,2,NA,3,2,2018,0.1677,0.5054,0.1697,1.8248,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,180331_171307,3.072,-133.472,-4.1741,1.472,25.1051,-25.3821,3.3372,1.439,NA,NA,NA,92.931,2577,6.725,529443,408236,452678,453943,642708,493316,501571,457803,53.7743,NA,NA,0,1,0,0,NA,1,9,Slider,0,0,0,0,0,0,0,0,Standard,Standard,9,2018,Regular,0,0
FF,2018-03-31,95.3,-1.1968,5.2552,Jacob deGrom,502054,594798,NA,called_strike,NA,NA,NA,NA,6,NA,R,R,R,NYM,STL,S,NA,NA,0,0,2018,-0.3486,1.4039,0.3881,2.4823,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,180331_171336,5.0499,-138.8267,-4.9899,-5.7325,30.1928,-12.5951,3.2546,1.4671,NA,NA,NA,96.924,2334,7.091,529443,408236,452678,453943,642708,493316,501571,457803,53.4084,NA,NA,NA,NA,NA,NA,NA,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,10,2018,Regular,0,0
