pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
CU,2015-10-09,83.1,-1.2231,5.6179,Jacob deGrom,608369,594798,NA,called_strike,NA,NA,NA,NA,5,NA,D,L,R,LAD,NYM,S,NA,NA,0,0,2015,0.5491333333333334,-0.4593333333333333,0.09,2.854,NA,NA,435062,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190623,0.972,-120.986,1.265,7.273,22.231,-38.955,3.62,1.53,NA,NA,NA,83.15,2611,6.33,446244,446263,502517,431151,514913,150212,493316,434158,54.1681,NA,NA,NA,NA,NA,NA,NA,7,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,11,2015,Postseason,1,0
FT,2015-10-09,97.4,-1.1119,5.6825,Jacob deGrom,608369,594798,NA,swinging_strike,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,S,NA,NA,0,1,2015,-1.2767333333333333,0.8063,-1.414,2.84,NA,NA,435062,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190647,1.434,-141.711,-3.28,-16.724,33.036,-23.509,3.66,1.57,NA,NA,NA,97.646,2230,6.626,446244,446263,502517,431151,514913,150212,493316,434158,53.8721,NA,NA,NA,NA,NA,NA,NA,7,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,12,2015,Postseason,1,0
FT,2015-10-09,98.4,-1.1711,5.4622,Jacob deGrom,608369,594798,NA,ball,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,B,NA,NA,0,2,2015,-1.1264333333333334,0.8306666666666667,-0.873,3.489,NA,NA,435062,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190711,2.682,-143.196,-1.588,-15.001,30.207,-22.879,3.65,1.68,NA,NA,NA,98.89,2260,6.571,446244,446263,502517,431151,514913,150212,493316,434158,53.9269,NA,NA,NA,NA,NA,NA,NA,7,3,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,13,2015,Postseason,1,0
FT,2015-10-09,98.6,-1.1859,5.8578,Jacob deGrom,608369,594798,strikeout,swinging_strike,NA,NA,NA,NA,1,Corey Seager strikes out swinging.,D,L,R,LAD,NYM,S,2,NA,1,2,2015,-0.894025,1.0972666666666666,-0.563,3.36,NA,NA,435062,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190758,2.825,-143.483,-2.858,-11.48,32.023,-19.008,3.66,1.57,NA,NA,NA,99.013,2210,6.579,446244,446263,502517,431151,514913,150212,493316,434158,53.9183,NA,NA,0,1,0,0,NA,7,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,14,2015,Postseason,1,0
FT,2015-10-09,98,-1.0182,5.5909,Jacob deGrom,408236,594798,NA,ball,NA,NA,NA,NA,13,NA,D,L,R,LAD,NYM,B,NA,NA,0,0,2015,-1.4061583333333334,1.0141333333333333,-1.098,2.678,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_190841,2.539,-142.664,-4.404,-18.936,32.313,-20.38,3.72,1.8,NA,NA,NA,98.248,2158,6.561,446244,446263,502517,431151,514913,150212,493316,434158,53.9369,NA,NA,NA,NA,NA,NA,NA,8,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,15,2015,Postseason,1,0
FT,2015-10-09,98.4,-1.103,5.8215,Jacob deGrom,408236,594798,NA,ball,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,B,NA,NA,1,0,2015,-1.1375666666666666,1.0084,-0.989,2.847,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_190906,2.189,-143.259,-4.083,-15.125,31.493,-20.328,3.62,1.71,NA,NA,NA,98.797,2224,6.506,446244,446263,502517,431151,514913,150212,493316,434158,53.9918,NA,NA,NA,NA,NA,NA,NA,8,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,16,2015,Postseason,1,0
FT,2015-10-09,98.2,-1.2324,5.8153,Jacob deGrom,408236,594798,NA,ball,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,B,NA,NA,2,0,2015,-1.1751416666666668,1.0241666666666667,-1.145,2.863,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_190933,2.265,-142.857,-4.061,-15.615,30.865,-20.14,3.65,1.8,NA,NA,NA,98.587,2257,6.572,446244,446263,502517,431151,514913,150212,493316,434158,53.926,NA,NA,NA,NA,NA,NA,NA,8,3,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,17,2015,Postseason,1,0
FF,2015-10-09,98.3,-1.1397,5.5691,Jacob deGrom,408236,594798,NA,called_strike,NA,NA,NA,NA,4,NA,D,L,R,LAD,NYM,S,NA,NA,3,0,2015,-0.242725,1.4255,-0.537,3.019,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_190957,0.931,-143.018,-4.487,-1.675,31.6,-14.314,3.68,1.8,NA,NA,NA,99.293,2443,6.888,446244,446263,502517,431151,514913,150212,493316,434158,53.6098,NA,NA,NA,NA,NA,NA,NA,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,18,2015,Postseason,1,0
SL,2015-10-09,90.8,-1.0223,5.8782,Jacob deGrom,408236,594798,NA,foul,NA,NA,NA,NA,5,NA,D,L,R,LAD,NYM,S,NA,NA,3,1,2015,0.45310833333333334,0.20143333333333333,0.087,2.433,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_191025,0.793,-132.344,-2.106,7.529,24.963,-32.074,3.72,1.83,NA,NA,NA,91.528,1188,6.498,446244,446263,502517,431151,514913,150212,493316,434158,53.9997,NA,NA,NA,NA,NA,NA,NA,8,5,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,19,2015,Postseason,1,0
FF,2015-10-09,99,-0.9113,5.5903,Jacob deGrom,408236,594798,strikeout,foul_tip,NA,NA,NA,NA,9,Adrian Gonzalez strikes out on a foul tip.,D,L,R,LAD,NYM,S,2,NA,3,2,2015,-0.83975,1.4541666666666666,0.388,2.347,NA,NA,435062,2,1,Bot,NA,NA,NA,NA,518595,NA,151009_191104,4.473,-143.948,-6.436,-10.742,32.284,-13.667,3.72,1.83,NA,NA,NA,99.4,2293,6.627,446244,446263,502517,431151,514913,150212,493316,434158,53.8711,NA,NA,0,1,0,0,NA,8,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,20,2015,Postseason,1,0
