pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
SL,2017-04-05,89.5,-1.5114,5.352,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,7,NA,R,R,R,NYM,ATL,B,NA,NA,2,2,2017,0.0757,0.2327,-0.6511,1.566,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231410,1.9749,-130.4285,-3.8674,0.4498,27.7588,-28.8831,3.58,1.66,NA,NA,NA,90.056,2549,6.576,490120,446263,435522,408314,452678,493316,434158,457803,53.9234,NA,NA,NA,NA,NA,NA,NA,2,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,11,2017,Regular,0,0
FT,2017-04-05,96.2,-1.1785,5.2168,Jacob deGrom,621020,594798,strikeout,called_strike,NA,NA,NA,NA,3,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,S,2,NA,3,2,2017,-1.3906,0.9766,0.6861,3.2152,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231432,8.249,-140.0258,-1.9839,-20.4904,32.6224,-18.8665,3.58,1.66,NA,NA,NA,97.098,2468,6.856,490120,446263,435522,408314,452678,493316,434158,457803,53.6432,NA,NA,0,1,0,0,NA,2,6,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,12,2017,Regular,0,0
FT,2017-04-05,95.7,-1.2099,5.3068,Jacob deGrom,NA,594798,NA,foul,NA,NA,NA,NA,11,NA,R,L,R,NYM,ATL,S,NA,NA,0,0,2017,-1.3547,1.2321,-0.8692,2.8623,NA,NA,NA,2,1,Top,NA,NA,NA,NA,518595,NA,170405_231508,4.0421,-139.3466,-3.6557,-18.7688,33.7139,-15.3159,3.52,1.69,170,78.6,17.2508,96.276,2496,6.759,490120,446263,435522,408314,452678,493316,434158,457803,53.7403,NA,NA,NA,NA,NA,NA,NA,3,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,13,2017,Regular,0,0
FT,2017-04-05,95.2,-1.2515,5.2846,Jacob deGrom,NA,594798,NA,foul,NA,NA,NA,NA,11,NA,R,L,R,NYM,ATL,S,NA,NA,0,1,2017,-1.456,0.944,-1.0713,2.6954,NA,NA,NA,2,1,Top,NA,NA,NA,NA,518595,NA,170405_231530,3.9138,-138.6939,-3.377,-20.1785,32.5877,-19.0748,3.52,1.69,274,87.9,40.4504,96.663,2351,7.175,490120,446263,435522,408314,452678,493316,434158,457803,53.3245,NA,NA,NA,NA,NA,NA,NA,3,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,14,2017,Regular,0,0
CU,2017-04-05,83.4,-1.3149,5.3103,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,NYM,ATL,B,NA,NA,0,2,2017,0.5152,-0.5825,0.218,1.0197,NA,NA,NA,2,1,Top,NA,NA,NA,NA,518595,NA,170405_231556,2.5197,-121.5186,-2.3511,4.7,21.8225,-37.7691,3.52,1.69,NA,NA,NA,84.034,2680,6.448,490120,446263,435522,408314,452678,493316,434158,457803,54.0519,NA,NA,NA,NA,NA,NA,NA,3,3,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,15,2017,Regular,0,0
SL,2017-04-05,90.6,-1.3719,5.3452,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,NYM,ATL,B,NA,NA,1,2,2017,0.2345,0.303,-0.5255,1.2658,NA,NA,NA,2,1,Top,NA,NA,NA,NA,518595,NA,170405_231621,1.6228,-132.0559,-5.0329,2.4867,25.4085,-27.7646,3.52,1.69,NA,NA,NA,91.836,2615,6.726,490120,446263,435522,408314,452678,493316,434158,457803,53.7735,NA,NA,NA,NA,NA,NA,NA,3,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,16,2017,Regular,0,0
FF,2017-04-05,96.9,-1.228,5.2984,Jacob deGrom,518692,594798,field_out,hit_into_play,NA,NA,NA,NA,4,"Freddie Freeman grounds out, second baseman Neil Walker to first baseman Lucas Duda.",R,L,R,NYM,ATL,X,4,ground_ball,2,2,2017,-0.8925,1.1897,-0.5336,2.8359,NA,NA,NA,2,1,Top,164.8,58.76,NA,NA,518595,NA,170405_231640,3.9856,-141.1887,-3.8668,-13.0704,32.0408,-15.2648,3.52,1.69,74,84.9,4.292,98.119,2519,6.897,490120,446263,435522,408314,452678,493316,434158,457803,53.6029,0.415,0.421,0,1,0,0,2,3,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,17,2017,Regular,0,0
FT,2017-04-05,92.9,-1.3623,5.3422,Jacob deGrom,461314,594798,field_out,hit_into_play,NA,NA,NA,NA,4,"Matt Kemp grounds out, third baseman Jose Reyes to first baseman Lucas Duda.",R,R,R,NYM,ATL,X,5,ground_ball,0,0,2017,-1.572,1.1773,-0.4551,2.5976,NA,NA,NA,0,2,Top,80.68,110.11,NA,NA,518595,NA,170405_232906,5.8985,-135.1353,-3.8267,-20.8516,33.723,-16.9206,3.68,1.76,6,65.2,-23.457,93.268,2286,6.859,490120,446263,435522,408314,452678,493316,434158,457803,53.6407,0.04,0.039,0,1,0,0,2,8,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,18,2017,Regular,0,0
FT,2017-04-05,94.4,-1.3138,5.3598,Jacob deGrom,NA,594798,NA,called_strike,NA,NA,NA,NA,7,NA,R,L,R,NYM,ATL,S,NA,NA,0,0,2017,-1.5538,0.8628,-0.3444,2.096,NA,NA,NA,1,2,Top,NA,NA,NA,NA,518595,NA,170405_232952,6.1386,-137.3758,-4.7638,-21.4222,33.674,-20.15,3.66,1.73,NA,NA,NA,95.123,2412,6.948,490120,446263,435522,408314,452678,493316,434158,457803,53.5515,NA,NA,NA,NA,NA,NA,NA,9,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,19,2017,Regular,0,0
FT,2017-04-05,94.5,-1.3016,5.4291,Jacob deGrom,NA,594798,NA,called_strike,NA,NA,NA,NA,4,NA,R,L,R,NYM,ATL,S,NA,NA,0,1,2017,-1.4344,1.2392,-0.8125,2.8272,NA,NA,NA,1,2,Top,NA,NA,NA,NA,518595,NA,170405_233008,4.5739,-137.5731,-3.8473,-19.4349,35.8291,-15.637,3.66,1.73,NA,NA,NA,94.72,2371,6.792,490120,446263,435522,408314,452678,493316,434158,457803,53.7078,NA,NA,NA,NA,NA,NA,NA,9,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,20,2017,Regular,0,0
